item_name,quantity,rate_per_item,total_amount
VERKA YOGURT BUCKET 32 LBS,4,41.99,167.96
VERKA PANEER 4 X 5LB,1,102.99,102.99
ROYAL BASMATI RICE 20LB,4,23.99,95.96
SWETHA TF IDLI RICE 20 LB,1,18.99,18.99
AMRUTHA URAD GOTA 55LB,1,75.99,75.99
MTR SPICED CHUTNEY POWDER 30 X 200GMS,1,69.99,69.99
MTR SAMBAR POWDER 500G X 24,1,124.99,124.99
MIF MUSTARD SEEDS 4LB,1,9.99,9.99
AMRUTHA STONE FLOWER (DAGAD PHOOL) 2LB,1,11.99,11.99
