item_name,quantity,rate_per_item,total_amount
AHOKA KESAR MANGO PULP 6 X 29 OZ (850 GMS) OTS CANS,4,18.99,75.96
RED LABEL TEA 900GMS X 12,1,106.99,106.99
MIF CUMIN POWDER 4 LB,1,11.99,11.99
AMRUTHA CASHEW PIECES (FANCY) 1LB,50,4.59,229.5
SWETHA TF IDLI RICE 20 LB,1,18.99,18.99
ROYAL BASMATI RICE 20LB,5,22.99,114.95
ROYAL CHEF SECRET BASMATI 40 LB,1,53.99,53.99
VERKA PANEER 4 X 5LB,1,102.99,102.99
VERKA YOGURT BUCKET 32 LBS,2,41.99,83.98
COORG COFFEE (SPECIALTY COFFEE) 500G X 20,1,129.99,129.99
ASHOKA FRO PUNJABI SAMOSA W/O GARLIC & ONION 6X45X40 GM,1,78.99,78.99
