item_name,quantity,rate_per_item,total_amount
AMRUTHA BLACK PEPPER WHOLE 1LB,5,6.49,32.45
AMRUTHA CORIANDER POWDER 1 LB,5,2.69,13.45
MIF CHILLI POWDER 4 LB,1,11.99,11.99
SWAD SOOJI COARSE 4LB X 10,1,49.99,49.99
BRAR ( sher) CHANNA BESAN 40 LBS,1,42.99,42.99
AMRUTHA CASHEW PIECES (FANCY) 1LB,5,4.59,22.95
SWAD URAD GOTTA 4LB X 10,3,64.99,194.97
AMRUTHA TOOR DAL 55LB,1,74.99,74.99
VERKA PANEER 4 X 5LB,1,102.99,102.99
VERKA YOGURT BUCKET 32 LBS,2,41.99,83.98
ROYAL BASMATI RICE 20LB,3,23.99,71.97
