item_name,quantity,rate_per_item,total_amount
AMRUTHA CORIANDER POWDER 1 LB,5,2.69,13.45
AMRUTHA CORIANDER SEEDS 1LB,10,2.75,27.5
MIF MUSTARD SEEDS 4LB,1,8.99,8.99
MIF CHILLI POWDER 4 LB,1,11.99,11.99
MIF CHANA BESAN 40 LB,1,45.99,45.99
MIF TURMERIC POWDER 4LB,1,9.99,9.99
AMRUTHA ROASTED DALIYA SPLIT 1LB,55,1.89,103.95
SWETHA TF IDLI RICE 20 LB,1,19.98,19.98
SB FROZEN COCCONUT SHREDDED 24 X 340GMS,1,54.99,54.99
VERKA PANEER 4 X 5LB,1,104.99,104.99
ROYAL BASMATI RICE 20LB,4,23.99,95.96
ROYAL CHEF SECRET BASMATI 40 LB,1,51.99,51.99
ASHOKA FRO GULAB JAMUN 200PCS,1,84.98,84.98
